id,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Dmean1,Dmean2,Dmean3,Dmean4,Dmean5,Dmean6,Dmean7,Dmean8,Dmean9,Dmean10,Dmean11,Dmean12,Dmean13,Dmean14,Lmean1,Lmean2,Lmean3,Lmean4,Lmean5,Lmean6,Lmean7,Lmean8,Lmean9,Lmean10,Lmean11,Lmean12,Lmean13,Lmean14,Lmax1,Lmax2,Lmax3,Lmax4,Lmax5,Lmax6,Lmax7,Lmax8,Lmax9,Lmax10,Lmax11,Lmax12,Lmax13,Lmax14
2,Lateralroot,0,0,5,9,13,15,15,18,18,20,22,25,25,30,0,0,0.50922203,1.420306724,6.61112715,8.54952145,9.82376463,11.64485888,11.80288055,16.52769156,20.15928559,24.16800061,24.89318994,26.09271775,0,0,0.066186978,0.145462716,0.639580698,0.847145674,1.157313482,1.612673333,1.627669257,2.088407408,2.563062369,3.02525229,3.72691931,3.515194934,0,0,0.000687231,0.001271587,0.00501979,0.006917765,0.01143965,0.01862998,0.019357607,0.021831055,0.027626826,0.032012134,0.045516439,0.039003675,0,0,0.050768501,0.042923114,0.032457875,0.033855643,0.036596614,0.040510865,0.048136269,0.040744859,0.041297717,0.045819482,0.048730976,0.040069406,0,0,0.101844406,0.157811858,0.508548242,0.569968097,0.654917642,0.646936604,0.655715586,0.826384578,0.916331163,0.966720024,1.037216248,0.869757258,0,0,0.22731996,0.28748742,1.398701,2.6651828,3.4857543,3.214832,4.1708,5.1756816,5.4470396,6.1496367,6.5493636,6.531055
2,primaryroot,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1.5688283,7.0003307,12.2172089,17.578379,24.5646239,29.680619,32.754146,33.454773,36.854213,41.217015,45.512752,46.534295,48.859703,50.688755,0.24647043,0.98647547,2.16828029,2.71339014,3.69795425,4.58588956,5.5803306,6.2210032,6.9407438,7.2890788,8.1051134,8.2129991,10.0519607,9.2495347,0.003107921,0.011276708,0.031129243,0.034507441,0.045856189,0.060670964,0.080875258,0.097053689,0.109992631,0.108183411,0.118826864,0.123477494,0.174105971,0.138231961,0.048201163,0.045350564,0.054700609,0.046356202,0.046720105,0.0456915,0.050664871,0.056159159,0.056669911,0.053891312,0.055380789,0.053747998,0.062745129,0.056060288,0.78441415,2.333443567,4.072402967,5.859459667,8.188207967,9.893539667,10.91804867,11.151591,12.28473767,13.739005,15.17091733,15.51143167,16.28656767,16.89625167,0.9114495,3.8019536,6.0005527,8.151859,10.516089,12.636928,14.026281,14.397759,15.062419,15.365995,16.303562,17.10945,17.367943,18.23807
2,sum_root,2,3,8,12,16,18,18,21,21,23,25,28,27,33,1.5688283,7.0003307,12.72643093,18.99868572,31.17575105,38.23014045,42.57791063,45.09963188,48.65709355,57.74470656,65.67203759,70.70229561,73.75289294,76.78147275,0.24647043,0.98647547,2.234467268,2.858852856,4.337534948,5.433035234,6.737644082,7.833676533,8.568413057,9.377486208,10.66817577,11.23825139,13.77888001,12.76472963,0.003107921,0.011276708,0.031816475,0.035779028,0.050875979,0.067588729,0.092314908,0.115683669,0.129350238,0.130014466,0.14645369,0.155489628,0.21962241,0.177235636,0.048201163,0.045350564,0.052243042,0.043781386,0.035132044,0.035828286,0.038941324,0.042746335,0.049355361,0.042459614,0.042987685,0.046668966,0.050288104,0.041523122,0.78441415,2.333443567,1.590803866,1.58322381,1.948484441,2.123896692,2.365439479,2.147601518,2.317004455,2.510639416,2.626881504,2.525081986,2.731588627,2.326711295,0.9114495,3.8019536,6.0005527,8.151859,10.516089,12.636928,14.026281,14.397759,15.062419,15.365995,16.303562,17.10945,17.367943,18.23807
4,Lateralroot,0,0,0,0,0,0,3,4,8,13,26,46,48,48,0,0,0,0,0,0,0.74588448,1.27483316,4.0240123,8.09518466,17.62582568,28.98270964,31.59912267,39.41661687,0,0,0,0,0,0,0.120432938,0.191204652,0.596362453,1.186231204,3.54990476,5.227008437,5.447314962,7.050996847,0,0,0,0,0,0,0.001574123,0.002388192,0.007590045,0.015043363,0.070697803,0.086364638,0.085147531,0.112199097,0,0,0,0,0,0,0.071763241,0.04683162,0.049331466,0.0487767,0.050749315,0.055209077,0.052468121,0.056279594,0,0,0,0,0,0,0.24862816,0.31870829,0.503001538,0.622706512,0.677916372,0.630058905,0.658315056,0.916665509,0,0,0,0,0,0,0.48622894,0.5692526,1.0452756,1.5216364,2.8850892,1.9070382,1.9531337,2.5418239
4,primaryroot,4,5,5,6,6,6,7,7,7,7,7,7,7,7,4.47327825,5.16283849,6.71714724,9.69008313,17.14669805,18.87629953,24.88721051,32.20977534,36.3360229,41.59399965,43.5235162,44.06119235,42.41408982,41.49069873,0.65541989,1.12063512,1.3889031,1.647220505,2.79274156,2.72663473,5.2148184,6.2724547,6.83410285,6.96139729,8.96335349,10.14846438,10.05171628,10.29460577,0.007963824,0.023033904,0.027199416,0.025587505,0.04795173,0.039123416,0.10718564,0.124196045,0.12682391,0.141434208,0.189467465,0.225796041,0.237264354,0.239936846,0.048441004,0.069203049,0.06814538,0.058295644,0.051660414,0.055192475,0.06198647,0.066092258,0.060759027,0.078313686,0.086359872,0.078187284,0.081941285,0.082276893,1.118319563,1.032567698,1.343429448,1.615013855,2.449528293,3.146049922,3.555315787,4.026221918,5.190860414,5.94199995,6.217645171,6.29445605,6.059155689,5.927242676,1.7262465,2.5066504,3.7957697,6.1244082,9.09817,9.934606,11.814439,13.394303,13.603546,15.503679,15.873056,16.956476,16.79465,15.748886
4,sum_root,4,5,5,6,7,6,10,12,15,20,33,53,55,50,4.47327825,5.16283849,6.71714724,9.69008313,17.14669805,18.87629953,25.63309499,33.4846085,40.3600352,49.68918431,61.14934188,73.04390199,74.01321249,80.9073156,0.65541989,1.12063512,1.3889031,1.647220505,2.79274156,2.72663473,5.335251338,6.463659352,7.430465303,8.147628494,12.51325825,15.37547282,15.49903124,17.34560262,0.007963824,0.023033904,0.027199416,0.025587505,0.04795173,0.039123416,0.108759763,0.126584237,0.134413955,0.156477571,0.260165268,0.312160678,0.322411886,0.352135942,0.048441004,0.069203049,0.06814538,0.058295644,0.051660414,0.055192475,0.064919502,0.059672045,0.054664328,0.059114645,0.05830307,0.058243935,0.056219251,0.059919216,1.118319563,1.032567698,1.343429448,1.615013855,2.449528293,3.146049922,2.563309499,2.790384042,2.690669013,2.484459216,1.85301036,1.37818683,1.345694773,1.618146312,1.7262465,2.5066504,3.7957697,6.1244082,9.09817,9.934606,11.814439,13.394303,13.603546,15.503679,15.873056,16.956476,16.79465,15.748886
4,Lateralroot,1,1,2,2,2,4,6,9,12,22,36,39,50,51,0.22155114,0,0.58547813,1.10178927,2.78635063,4.365316082,10.48081464,18.69797887,26.10640411,35.57236652,44.89605122,50.82079081,64.3018816,70.64365433,0.029604215,0,0.106528765,0.22276761,0.210273045,0.548755527,1.47405354,2.479834352,3.539425667,4.968884619,7.159418615,8.063841841,9.988089965,11.59903479,0.000319406,0.000319406,0.001687351,0.003646481,0.001280615,0.005623098,0.017433643,0.027097239,0.039319414,0.0565108,0.093735416,0.105078194,0.130600533,0.15752528,0.041999225,0.045595228,0.04919123,0.054958509,0.028554821,0.036579857,0.037950633,0.043881288,0.039372292,0.046590137,0.048393072,0.053550523,0.051325184,0.051888031,0.22155114,0.257145103,0.292739065,0.550894635,1.393175315,1.091329021,1.74680244,2.077553207,2.175533675,1.616925751,1.247112534,1.3030972,1.286037632,1.385169693,0.22155114,0.33173647,0.4419218,0.9713552,2.640566,4.0244913,6.3664513,8.747622,11.216342,11.217111,11.544071,11.715764,11.931858,11.541051
4,primaryroot,4,5,5,5,5,5,5,5,5,5,6,6,7,7,3.2128107,4.77821414,7.0612737,9.11293911,13.88800467,12.93908884,13.86638641,14.8494522,15.00858155,15.33282,16.32346079,17.50614646,18.6537503,18.6579588,0.614574815,0.86108344,1.185819285,1.541224046,1.95553658,1.863986838,2.81013314,3.410493035,2.918960963,2.73884541,3.73840779,4.910963504,4.845102762,5.3551199,0.009477193,0.013193455,0.016868677,0.021838988,0.022897044,0.022864208,0.048400938,0.067713236,0.048831783,0.041560282,0.073668821,0.128797814,0.114663636,0.145784693,0.059360639,0.057817355,0.056277581,0.058136108,0.052478828,0.05030689,0.055375708,0.062961221,0.056727554,0.051382942,0.064551031,0.060791028,0.060634188,0.067607348,0.803202675,0.955642828,1.41225474,1.822587822,2.777600934,2.587817768,2.773277282,2.96989044,3.00171631,3.066564,2.720576798,2.917691077,2.664821471,2.665422686,1.5026929,2.5461273,4.4252043,6.6778407,11.594421,9.833858,11.417235,12.445621,12.6940365,12.788987,12.970734,12.899183,12.750273,12.56883
4,sum_root,5,5,7,7,7,9,11,14,17,27,42,45,57,58,3.43436184,4.77821414,7.64675183,10.21472838,16.6743553,17.30440492,24.34720105,33.54743107,41.11498566,50.90518652,61.21951201,68.32693727,82.9556319,89.30161313,0.64417903,0.86108344,1.29234805,1.763991656,2.165809625,2.412742365,4.28418668,5.890327387,6.45838663,7.707730029,10.89782641,12.97480535,14.83319273,16.95415469,0.009796599,0.013193455,0.018556029,0.025485469,0.024177659,0.028487305,0.065834581,0.094810475,0.088151197,0.098071082,0.167404236,0.233876008,0.245264169,0.303309973,0.055888356,0.057817355,0.05425291,0.057228222,0.045643397,0.044205986,0.045871122,0.05069555,0.044476781,0.047477694,0.050701352,0.054515924,0.052468395,0.05378519,0.686872368,0.955642828,1.092393119,1.459246911,2.382050757,1.922711658,2.213381913,2.396245076,2.418528568,1.885377279,1.457607429,1.518376384,1.455361963,1.539682985,1.5026929,2.5461273,4.4252043,6.6778407,11.594421,9.833858,11.417235,12.445621,12.6940365,12.788987,12.970734,12.899183,12.750273,12.56883
4,Lateralroot,0,0,0,1,3,7,9,12,17,23,37,37,54,62,0,0,0,0.8690854,3.19357528,6.20608092,9.98857282,14.88416186,20.62296638,29.89151642,44.95607219,46.65389366,56.35437116,64.18537441,0,0,0,0.12089511,0.401286413,0.849315063,1.510242693,2.119081434,2.918654247,4.592593855,7.497390063,9.744329963,10.60105934,12.63652503,0,0,0,0.001425441,0.004082109,0.009597648,0.019111259,0.02488977,0.034611466,0.060520531,0.109571548,0.181681369,0.18844618,0.234094271,0,0,0,0.044306308,0.044409728,0.042479504,0.045801494,0.046010815,0.049174601,0.051947605,0.061519555,0.076846659,0.071819431,0.070473426,0,0,0,0.8690854,1.064525093,0.886582989,1.109841424,1.240346821,1.213115669,1.299631149,1.215028978,1.260916045,1.043599466,1.035247974,0,0,0,0.8690854,2.3859732,2.4001772,2.7775874,3.6434982,5.1889353,7.110271,7.905285,7.192674,7.619489,7.9218717
