id,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Dmean1,Dmean2,Dmean3,Dmean4,Dmean5,Dmean6,Dmean7,Dmean8,Dmean9,Dmean10,Dmean11,Dmean12,Dmean13,Dmean14,Lmean1,Lmean2,Lmean3,Lmean4,Lmean5,Lmean6,Lmean7,Lmean8,Lmean9,Lmean10,Lmean11,Lmean12,Lmean13,Lmean14,Lmax1,Lmax2,Lmax3,Lmax4,Lmax5,Lmax6,Lmax7,Lmax8,Lmax9,Lmax10,Lmax11,Lmax12,Lmax13,Lmax14
2,Lateralroot,0,0,0,4,7,9,9,10,11,11,11,10,11,11,0,0,0,0.18388152,1.55973188,2.116104241,2.05096174,1.655405679,1.888374155,2.133916369,1.801039025,2.032775264,2.032775264,2.032775264,0,0,0,0.016695906,0.226763184,0.272372551,0.301238239,0.236191788,0.294890037,0.391127169,0.250014465,0.338345455,0.338345455,0.338345455,0,0,0,0.000125747,0.00300091,0.002845247,0.003596714,0.002769613,0.003840112,0.00609786,0.003023693,0.004850644,0.004850644,0.004850644,0,0,0,0.027668325,0.047705266,0.041080009,0.04598912,0.046300735,0.04573376,0.05662895,0.043382857,0.049786274,0.049786274,0.049786274,0,0,0,0.04597038,0.22281884,0.235122693,0.227884638,0.165540568,0.171670378,0.193992397,0.16373082,0.203277526,0.203277526,0.203277526,0,0,0,0.06167866,0.47238225,0.64553094,0.53086394,0.41567588,0.44313845,0.4963256,0.2637066,0.5481017,0.5481017,0.5481017
2,primaryroot,0,3,4,4,4,4,4,4,4,4,4,4,4,4,0,1.24769597,2.58451704,2.562710575,5.05306108,5.65217231,6.39702162,7.3317365,7.1402752,7.2206963,7.54340144,7.3461625,7.3461625,7.3461625,0,0.233274981,0.384123999,0.335810228,0.725319676,0.813084236,0.932900122,1.019936073,1.049695206,1.20771393,1.1094498,1.08604735,1.08604735,1.08604735,0,0.003554841,0.004716219,0.003675247,0.008504935,0.009606749,0.011142151,0.012134725,0.012813485,0.017491539,0.013346374,0.013209232,0.013209232,0.013209232,0,0.052104982,0.047697262,0.038185922,0.04427487,0.046154317,0.045319126,0.045361993,0.04799555,0.052505819,0.048250123,0.046049438,0.046049438,0.046049438,0,0.415898657,0.64612926,0.640677644,1.26326527,1.413043078,1.599255405,1.832934125,1.7850688,1.805174075,1.88585036,1.836540625,1.836540625,1.836540625,0,1.0285246,1.0851488,1.0961155,2.196529,2.5288115,2.5281692,3.1519315,2.865873,2.9563286,3.094079,2.8628342,2.8628342,2.8628342
2,sum_root,0,3,4,8,11,13,13,14,15,15,15,14,15,15,0,1.24769597,2.58451704,2.746592095,6.61279296,7.768276551,8.44798336,8.987142179,9.028649355,9.354612669,9.344440465,9.378937764,9.378937764,9.378937764,0,0.233274981,0.384123999,0.352506135,0.95208286,1.085456787,1.234138361,1.256127861,1.344585243,1.598841099,1.359464265,1.424392805,1.424392805,1.424392805,0,0.003554841,0.004716219,0.003800994,0.011505845,0.012451996,0.014738865,0.014904337,0.016653597,0.023589398,0.016370067,0.018059876,0.018059876,0.018059876,0,0.052104982,0.047697262,0.032927124,0.046457849,0.042641334,0.045782968,0.046032523,0.046336904,0.055529448,0.044680795,0.048718607,0.048718607,0.048718607,0,0.415898657,0.64612926,0.343324012,0.601162996,0.597559735,0.649844874,0.641938727,0.601909957,0.623640845,0.622962698,0.669924126,0.669924126,0.669924126,0,1.0285246,1.0851488,1.0961155,2.196529,2.5288115,2.5281692,3.1519315,2.865873,2.9563286,3.094079,2.8628342,2.8628342,2.8628342
4,Lateralroot,0,0,0,0,5,8,10,9,9,10,12,12,13,14,0,0,0,0,0.873677166,5.938032927,9.727636447,10.08201737,12.91424557,13.99904912,9.391843792,14.3356423,10.13750815,11.35578316,0,0,0,0,0.108538873,1.002032077,1.452762204,1.454721995,2.111180651,2.054272872,1.245718425,2.136424393,1.992695851,1.694486729,0,0,0,0,0.001209475,0.015351822,0.018043011,0.018149512,0.028670198,0.024782579,0.01377539,0.025953504,0.033441448,0.020901847,0,0,0,0,0.038384091,0.051144436,0.044808667,0.044639679,0.051837957,0.045547705,0.042237465,0.044785102,0.055576366,0.044325128,0,0,0,0,0.174735433,0.742254116,0.972763645,1.120224152,1.434916174,1.399904912,0.782653649,1.194636858,0.779808319,0.811127368,0,0,0,0,0.26668072,2.6056695,3.2247076,2.61142,4.972232,5.6086383,2.497337,6.870985,2.531932,2.8100328
4,primaryroot,2,4,5,5,4,4,4,4,4,4,4,4,4,4,0.277796085,1.03508766,3.73705902,6.26685583,9.6721358,10.9880591,13.0149322,17.0288822,14.9538799,14.2255685,18.7776956,14.8903113,19.3505283,19.3243769,0.048144313,0.214934813,0.724243794,0.98129082,1.35807732,1.51041545,2.12754356,2.56988516,2.40989078,2.13687063,2.7776011,2.15738378,3.8981378,3.37855038,0.000666317,0.004006784,0.01211834,0.012992496,0.016427361,0.018225496,0.028821629,0.032362509,0.03225477,0.026948697,0.034921863,0.027666868,0.065246934,0.048765233,0.054826804,0.062942272,0.061568762,0.049319966,0.043332592,0.04311012,0.051407329,0.046959941,0.050352205,0.046874998,0.045454652,0.044553238,0.062514971,0.057038341,0.138898043,0.258771915,0.747411804,1.253371166,2.41803395,2.747014775,3.25373305,4.25722055,3.738469975,3.556392125,4.6944239,3.722577825,4.837632075,4.831094225,0.18172505,0.44614846,1.089405,1.7504481,3.191271,3.8036697,4.5331054,5.392388,5.4971614,5.3016605,7.113673,5.409726,8.631323,9.0316725
4,sum_root,2,4,5,5,9,12,14,13,13,14,16,16,17,18,0.277796085,1.03508766,3.73705902,6.26685583,10.54581297,16.92609203,22.74256865,27.11089957,27.86812547,28.22461762,28.16953939,29.2259536,29.48803645,30.68016006,0.048144313,0.214934813,0.724243794,0.98129082,1.466616193,2.512447527,3.580305764,4.024607155,4.521071431,4.191143502,4.023319525,4.293808173,5.890833651,5.073037109,0.000666317,0.004006784,0.01211834,0.012992496,0.017636836,0.033577318,0.046864639,0.050512021,0.060924968,0.051731276,0.048697253,0.053620373,0.098688382,0.06966708,0.054826804,0.062942272,0.061568762,0.049319966,0.040583425,0.048466331,0.046693999,0.045353606,0.051380803,0.045926932,0.043041762,0.044727136,0.057208979,0.047150287,0.138898043,0.258771915,0.747411804,1.253371166,1.171756996,1.410507669,1.624469189,2.085453813,2.143701959,2.016044116,1.760596212,1.8266221,1.734590379,1.704453336,0.18172505,0.44614846,1.089405,1.7504481,3.191271,3.8036697,4.5331054,5.392388,5.4971614,5.6086383,7.113673,6.870985,8.631323,9.0316725
5,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,primaryroot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948,0.02721107,0.02721107,0.02721107,0.027565923,0.037669577,0.023354,0.043427173,0.025854986,0.023946773,0.043158617,0.03464024,0.030333566,0.030333566,0.030333566,0.000221088,0.000221088,0.000221088,0.000194355,0.000356097,0.000161941,0.000480026,0.000172248,0.000155323,0.000449034,0.000295755,0.000234965,0.000234965,0.000234965,0.030262835,0.030262835,0.030262835,0.027881294,0.036801435,0.029872471,0.0425868,0.027222656,0.026698275,0.0389027,0.030884722,0.029498111,0.029498111,0.029498111,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948
5,sum_root,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948,0.02721107,0.02721107,0.02721107,0.027565923,0.037669577,0.023354,0.043427173,0.025854986,0.023946773,0.043158617,0.03464024,0.030333566,0.030333566,0.030333566,0.000221088,0.000221088,0.000221088,0.000194355,0.000356097,0.000161941,0.000480026,0.000172248,0.000155323,0.000449034,0.000295755,0.000234965,0.000234965,0.000234965,0.030262835,0.030262835,0.030262835,0.027881294,0.036801435,0.029872471,0.0425868,0.027222656,0.026698275,0.0389027,0.030884722,0.029498111,0.029498111,0.029498111,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948
6,Lateralroot,0,0,0,1,2,3,3,4,5,6,8,9,12,13,0,0,0,0.1302676,0.64378272,0.83312981,0.688368527,0.826221953,2.02505026,2.2654737,5.710794296,8.97304339,11.40725351,11.67744552,0,0,0,0.013142724,0.067537339,0.087988259,0.095327324,0.092922643,0.302224293,0.387600015,0.928436445,1.310529181,1.634732043,1.601686917,0,0,0,0.000105519,0.000567266,0.000758481,0.001090863,0.000867318,0.003763766,0.005726096,0.012475387,0.016300242,0.019684669,0.018771048,0,0,0,0.032281615,0.033390819,0.036801603,0.041114721,0.040974764,0.048688522,0.05040291,0.050929644,0.044429328,0.047787343,0.043774236,0,0,0,0.1302676,0.32189136,0.277709937,0.229456176,0.206555488,0.405010052,0.37757895,0.713849287,0.997004821,0.950604459,0.89826504,0,0,0,0.1302676,0.47204816,0.49004787,0.42846593,0.48796928,0.76952493,0.6485042,1.3849572,2.280346,2.3520277,2.7284591
